pincode,radius_km
144409,7.83
144410,14.82
144411,3.6
144416,15.09
144417,21.89
144418,19.01
144419,13.23
144421,12.39
144422,18.66
144501,8.96
144502,7.04
144503,5.69
144504,9.21
144505,9.62
144506,13.74
144507,9.05
144508,0.0
144509,15.77
144510,12.33
144511,30.0
144512,11.29
144513,13.96
144514,30.0
144515,14.79
144516,12.17
144517,23.97
144518,11.03
144519,30.0
144520,30.0
144521,30.0
144522,21.23
144523,30.0
144524,30.0
144525,30.0
144526,30.0
144527,30.0
144528,30.0
144529,30.0
144530,19.49
144531,30.0
144532,30.0
144601,2.05
144603,9.28
144606,7.0
144620,22.24
144621,3.89
144622,7.42
144623,5.58
144624,4.23
144625,30.0
144626,12.21
144628,17.7
144629,30.0
144630,20.5
144631,30.0
144632,2.57
144633,2.44
144701,20.57
144702,22.47
144703,30.0
144801,5.6
144802,10.11
144803,30.0
144804,11.56
144805,12.27
144806,11.01
144819,15.53
145001,12.75
145022,9.46
145023,12.3
145024,19.74
145025,8.21
145026,11.14
145027,15.72
145029,21.6
145101,7.91
146001,0.0
146021,25.49
146022,30.0
146023,30.0
146024,30.0
146101,27.81
146102,19.08
146103,25.42
146104,28.17
146105,24.06
146106,19.49
146107,30.0
146108,30.0
146109,30.0
146110,29.58
146111,30.0
146112,30.0
146113,18.47
146114,20.28
146115,30.0
146116,30.0
147001,30.0
147002,1.61
147003,0.9
147004,24.66
147005,2.56
147006,8.35
147007,8.38
147021,4.04
147101,16.17
147102,30.0
147103,3.57
147104,21.73
147105,16.61
147111,5.52
147201,21.88
147202,6.47
147203,11.43
147301,3.13
148001,0.51
148002,30.0
148017,30.0
148018,2.83
148019,1.95
148020,30.0
148021,3.83
148022,26.38
148023,30.0
148024,30.0
148025,30.0
148026,30.0
148027,30.0
148028,30.0
148029,2.22
148030,7.0
148031,30.0
148033,30.0
148034,30.0
148035,30.0
148100,30.0
148101,30.0
148102,30.0
148103,30.0
148104,30.0
148105,30.0
148106,1.45
148107,30.0
148108,30.0
148109,30.0
151001,2.53
151002,4.62
151005,30.0
151101,11.87
151102,7.86
151103,10.79
151104,13.34
151105,18.37
151106,19.38
151108,20.21
151111,10.65
151201,30.0
151202,17.23
151203,0.0
151204,5.11
151205,10.6
151206,30.0
151207,10.62
151208,16.2
151209,4.35
151210,11.65
151211,30.0
151212,30.0
151213,7.04
151214,30.0
151301,8.11
151302,25.97
151401,12.86
151501,30.0
151502,17.37
151503,16.29
151504,11.77
151505,18.3
151506,26.57
151507,18.01
151508,30.0
151509,8.67
151510,16.19
152001,0.0
152002,3.53
152003,7.32
152004,21.02
152005,30.0
152020,15.1
152021,3.74
152022,3.2
152023,5.68
152024,7.95
152025,10.05
152026,13.27
152028,30.0
152031,27.65
152032,9.44
152033,16.9
152101,14.76
152107,29.24
152112,27.0
152113,16.16
152114,25.72
152115,18.79
152116,30.0
152117,30.0
152118,30.0
152121,10.76
152122,8.31
152123,17.61
152124,28.45
152128,30.0
152132,30.0
160001,0.28
160002,4.0
160003,4.69
160009,0.45
160011,0.4
160012,1.36
160014,4.3
160015,0.26
160018,0.28
160019,0.92
160022,0.97
160030,1.93
160036,2.56
160047,28.7
160055,30.0
160059,30.0
160062,30.0
160101,6.78
160102,5.32
171001,0.53
171002,0.45
171003,30.0
171004,15.06
171005,26.69
171006,8.64
171007,12.39
171009,11.75
171011,20.81
171012,25.23
171013,17.47
171014,30.0
171018,30.0
171019,30.0
171102,7.14
171103,16.87
171201,17.07
171202,18.12
171203,24.93
171204,19.75
171205,19.66
171206,30.0
171207,30.0
171208,16.72
171209,18.84
171210,30.0
171211,23.15
171212,1.16
171213,8.13
171214,21.07
171216,18.0
171217,12.92
171219,4.55
171220,23.46
171221,29.11
171222,30.0
171224,0.31
171225,30.0
171226,26.1
171301,24.12
172001,9.81
172002,8.31
172021,0.0
172022,0.87
172023,30.0
172024,7.44
172025,12.13
172026,30.0
172027,3.73
172029,0.62
172030,30.0
172031,1.26
172032,8.54
172033,5.34
172101,10.81
172102,2.64
172104,7.79
172105,3.94
172106,15.97
172107,0.23
172108,5.58
172109,7.23
172110,6.77
172111,10.29
172112,4.1
172113,30.0
172114,30.0
172115,13.96
172116,0.96
172117,30.0
172118,6.04
172201,16.31
173001,14.2
173021,18.97
173022,11.65
173023,7.25
173024,8.87
173025,21.06
173027,4.57
173029,22.47
173030,16.36
173031,16.0
173032,7.0
173101,6.3
173104,8.73
173204,6.9
173205,7.56
173206,7.0
173207,9.14
173208,5.98
173209,0.39
173211,2.16
173212,0.23
173213,3.41
173214,1.59
173215,2.56
173217,10.3
173218,9.59
173220,7.46
173221,5.93
173223,14.51
173225,5.85
173229,13.45
173233,28.98
173234,4.43
173235,0.39
174001,5.69
174002,29.98
174003,3.69
174004,6.25
174011,9.98
174012,1.76
174013,16.27
174015,8.33
174017,1.98
174021,3.84
174024,5.55
174026,1.94
174027,7.57
174028,9.51
174029,5.4
174030,6.6
174031,1.95
174032,2.78
174033,13.68
174034,1.96
174035,2.32
174036,0.23
174101,20.04
174102,18.59
174103,8.43
174201,4.41
174301,1.49
174302,1.39
174303,4.28
174304,11.13
174305,3.35
174306,2.11
174307,3.35
174308,2.76
174309,2.81
174310,5.13
174311,5.27
174312,7.17
174314,2.04
174315,18.71
174316,0.39
174319,2.14
174321,4.95
174405,4.98
174503,1.59
174507,4.34
175001,4.4
175002,7.37
175003,5.52
175004,8.49
175005,4.12
175006,2.98
175007,0.08
175008,2.34
175009,11.62
175010,19.28
175011,6.22
175012,3.6
175013,8.21
175014,8.5
175015,15.96
175016,14.98
175017,16.83
175018,3.44
175019,1.84
175021,3.48
175023,2.98
175024,3.73
175025,2.35
175026,1.34
175027,2.98
175028,1.3
175029,11.35
175030,2.33
175031,4.5
175032,5.44
175033,5.05
175034,7.8
175035,2.71
175036,9.14
175037,0.23
175038,18.71
175039,1.72
175040,0.03
175042,4.59
175045,2.93
175046,2.85
175047,3.63
175048,30.0
175049,3.26
175050,12.1
175052,2.78
175101,1.85
175102,2.77
175103,3.73
175104,1.81
175105,5.91
175106,4.91
175121,11.35
175123,6.81
175124,4.44
175125,4.7
175126,2.61
175128,2.43
175129,3.12
175130,0.82
175131,8.56
175132,5.91
175133,6.31
175134,3.57
175136,11.23
175138,1.29
175139,2.36
175140,10.25
175141,1.48
175142,9.35
175143,2.12
176001,14.33
176021,20.64
176022,21.26
176023,13.2
176025,14.08
176026,29.44
176027,6.76
176028,4.47
176029,25.97
176030,2.1
176031,13.16
